City, Country, Population, Area (sq. km), GDP ($), Major Landmark, Climate, Language, Currency, Timezone, Mayor, Famous for, Tourist Attractions, Airport Code, Hotel Name, Restaurant Name, Museum Name, Park Name, Population Density (/sq. km), Annual Visitors, Average Temperature (Celsius), Annual Rainfall (mm), Elevation (m), Public Transportation, Universities, Sports Teams, Famous Festivals, Famous Foods, Major Industries
New York City, USA, 8537673, 783.8, 1550400000000, Statue of Liberty, Temperate, English, US Dollar, UTC-5, Bill de Blasio, Finance, Empire State Building, JFK, Hilton, Peter Luger Steak House, The Metropolitan Museum of Art, Central Park, 10896, 62000000, 12, 1268, 10, Subway, Columbia University, New York Yankees, Macy's Thanksgiving Day Parade, Pizza, Finance
Tokyo, Japan, 13929286, 2187.66, 1630000000000, Tokyo Tower, Temperate, Japanese, Japanese Yen, UTC+9, Yuriko Koike, Technology, Tokyo Skytree, HND, Park Hyatt Tokyo, Sukiyabashi Jiro, Tokyo National Museum, Shinjuku Gyoen, 6369, 31300000, 16, 1526, 40, Subway, University of Tokyo, Yomiuri Giants, Gion Matsuri, Sushi, Technology
London, UK, 8982256, 1572, 935000000000, Big Ben, Temperate, English, Pound Sterling, UTC+0, Sadiq Khan, Culture, London Eye, LHR, The Ritz London, Dishoom, British Museum, Hyde Park, 5711, 19200000, 11, 601, 35, Tube, Imperial College London, Chelsea F.C., Notting Hill Carnival, Fish and Chips, Finance
Beijing, China, 21707000, 16410.54, 1210000000000, Great Wall of China, Temperate, Mandarin, Renminbi, UTC+8, Chen Jining, History, Forbidden City, PEK, Grand Hyatt Beijing, Da Dong Roast Duck Restaurant, National Museum of China, Temple of Heaven Park, 1319, 28400000, 12, 570, 44, Subway, Peking University, Beijing Guoan F.C., Spring Festival, Peking Duck, Manufacturing
Paris, France, 2148327, 105.4, 970000000000, Eiffel Tower, Temperate, French, Euro, UTC+1, Anne Hidalgo, Fashion, Louvre Museum, CDG, The Peninsula Paris, Le Meurice, Musée d'Orsay, Luxembourg Gardens, 20389, 30900000, 12, 640, 35, Métro, Sorbonne University, Paris Saint-Germain F.C., Bastille Day, Croissant, Fashion
Los Angeles, USA, 3990456, 1302, 866000000000, Hollywood Sign, Mediterranean, English, US Dollar, UTC-8, Eric Garcetti, Entertainment, Hollywood Walk of Fame, LAX, The Beverly Hills Hotel, Providence, Getty Center, Griffith Park, 3059, 50700000, 19, 377, 71, Metro, University of California, Los Angeles Lakers, Rose Parade, In-N-Out Burger, Entertainment
Mexico City, Mexico, 8918653, 1485, 490000000000, Palacio de Bellas Artes, Subtropical, Spanish, Mexican Peso, UTC-6, Claudia Sheinbaum, Culture, Chapultepec Park, MEX, Four Seasons Hotel Mexico City, Pujol, National Museum of Anthropology, Chapultepec Forest, 6002, 35500000, 19, 819, 2240, Metro, National Autonomous University of Mexico, Club América, Day of the Dead, Tacos al Pastor, Manufacturing
Moscow, Russia, 12692466, 2511, 565000000000, Saint Basil's Cathedral, Continental, Russian, Russian Ruble, UTC+3, Sergei Sobyanin, History, Red Square, SVO, The Ritz-Carlton Moscow, White Rabbit, State Historical Museum, Gorky Park, 5059, 24900000, 5, 707, 155, Metro, Moscow State University, FC Spartak Moscow, Victory Day, Borscht, Energy
Rio de Janeiro, Brazil, 6747815, 1200, 350000000000, Christ the Redeemer, Tropical, Portuguese, Brazilian Real, UTC-3, Eduardo Paes, Carnival, Copacabana Beach, GIG, Belmond Copacabana Palace, Aprazível, Museum of Tomorrow, Tijuca National Park, 5623, 13200000, 24, 1194, 25, Metro, Federal University of Rio de Janeiro, Flamengo, Carnival, Feijoada, Tourism
Berlin, Germany, 3644826, 891.8, 420000000000, Brandenburg Gate, Temperate, German, Euro, UTC+1, Michael Müller, History, Berlin Wall, TXL, Hotel Adlon Kempinski Berlin, Rutz, Pergamon Museum, Tiergarten, 4090, 13000000, 10, 570, 34, U-Bahn, Humboldt University of Berlin, Hertha BSC, Oktoberfest, Currywurst, Technology
